404,18,Reliance Telecom (Himachal Pradesh)
405,19,Reliance Telecom (Rajasthan)
404,19,Idea (Kerala)
405,20,Reliance Telecom (Tamilnadu)
404,20,Vodafone (Mumbai)
405,21,Reliance Telecom (Uttar Pradesh (East)
404,21,LOOP (Mumbai)
404,22,Idea (Maharashtra)
405,22,Reliance Telecom (Uttar Pradesh (West)
405,23,Reliance Telecom (West Bengal)
404,24,Idea (Gujarat)
405,24,HFCL INFOTEL (Punjab)
404,25,Aircel (Bihar)
405,25,TATA Teleservices (Andhra Pradesh)
405,26,TATA Teleservices (Assam)
405,27,TATA Teleservices (Bihar)
404,27,Vodafone (Maharashtra)
405,28,TATA Teleservices (Chennai)
404,28,Aircel (Orissa)
404,29,Aircel (Assam)
405,29,TATA Teleservices (Delhi)
405,30,TATA Teleservices (Gujarat)
404,30,Vodafone (Kolkata)
405,31,TATA Teleservices (Haryana)
404,31,Bharti Airtel Ltd (Kolkata)
405,32,TATA Teleservices (Himachal Pradesh)
405,33,TATA Teleservices (Jammu & Kashmir)
404,33,Aircel (North East)
404,34,BSNL (Haryana)
405,34,TATA Teleservices (Karnataka)
405,35,TATA Teleservices (Kerala)
404,35,Aircel (Himachal Pradesh)
405,36,TATA Teleservices (Kolkata)
404,36,Reliance Telecom (Bihar)
405,37,TATA Teleservices (Maharashtra)
404,37,Aircel (Jammu & Kashmir)
404,38,BSNL (Assam)
405,38,TATA Teleservices (Madhya Pradesh)
405,39,TATA Teleservices (Mumbai)
405,40,TATA Teleservices (North East)
404,40,Bharti Airtel Ltd (Chennai)
404,41,Aircel (Chennai)
405,41,TATA Teleservices (Orissa)
405,42,TATA Teleservices (Punjab)
404,42,Aircel (Tamilnadu)
405,43,TATA Teleservices (Rajasthan)
404,43,Vodafone (Tamilnadu)
405,44,TATA Teleservices (Tamilnadu)
404,44,Idea (Karnataka)
404,45,Bharti Airtel Ltd (Karnataka)
405,45,TATA Teleservices (Uttar Pradesh (East)
405,46,TATA Teleservices (Uttar Pradesh (West)
404,46,Vodafone (Kerala)
405,47,TATA Teleservices (West Bengal)
405,48,INDIAN RAILWAYS GSM-R (ALL CIRCLES)
404,49,Bharti Airtel Ltd (Andhra Pradesh)
404,50,Reliance Telecom (North East)
405,51,Bharti Airtel Ltd (West Bengal)
404,51,BSNL (Himachal Pradesh)
405,52,Bharti Airtel Ltd (Bihar)
404,52,Reliance Telecom (Orissa)
405,53,Bharti Airtel Ltd (Orissa)
404,53,BSNL (Punjab)
404,54,BSNL (Uttar Pradesh (West)
405,54,Bharti Airtel Ltd (Uttar Pradesh (East)
405,55,Bharti Airtel Ltd (Jammu & Kashmir)
404,55,BSNL (Uttar Pradesh (East)
404,56,Idea (Uttar Pradesh (West)
405,56,Bharti Airtel Ltd (Assam)
404,57,BSNL (Gujarat)
404,58,BSNL (Madhya Pradesh)
404,59,BSNL (Rajasthan)
404,60,Vodafone (Rajasthan)
404,62,BSNL (Jammu & Kashmir)
404,64,BSNL (Chennai)
404,66,BSNL (Maharashtra)
405,66,Vodafone (Uttar Pradesh (West)
405,67,Vodafone (West Bengal)
404,67,Reliance Telecom (Madhya Pradesh)
404,68,MTNL (Delhi)
404,69,MTNL (Mumbai)
405,70,Idea (Bihar)
404,70,Bharti Airtel Ltd (Rajasthan)
404,71,BSNL (Karnataka)
404,72,BSNL (Kerala)
404,73,BSNL (Andhra Pradesh)
404,74,BSNL (West Bengal)
404,75,BSNL (Bihar)
404,76,BSNL (Orissa)
404,77,BSNL (North East)
404,78,Idea (Madhya Pradesh)
404,79,BSNL (Andaman Nicobar)
404,80,BSNL (Tamilnadu)
404,81,BSNL (Kolkata)
404,82,Idea (Himachal Pradesh)
404,83,Reliance Telecom (Kolkata)
404,84,Vodafone (Chennai)
404,85,Reliance Telecom (West Bengal)
404,86,Vodafone (Karnataka)
404,87,Idea (Rajasthan)
404,88,Vodafone (Punjab)
404,89,Idea (Uttar Pradesh (East)
404,90,Bharti Airtel Ltd (Maharashtra)
404,91,Aircel (Kolkata)
404,92,Bharti Airtel Ltd (Mumbai)
404,93,Bharti Airtel Ltd (Madhya Pradesh)
404,94,Bharti Airtel Ltd (Tamilnadu)
404,95,Bharti Airtel Ltd (Kerala)
404,96,Bharti Airtel Ltd (Haryana)
404,97,Bharti Airtel Ltd (Uttar Pradesh (West)
404,98,Bharti Airtel Ltd (Gujarat)
405,750,Vodafone (Jammu & Kashmir)
405,751,Vodafone (Assam)
405,752,Vodafone (Bihar)
405,753,Vodafone (Orissa)
405,754,Vodafone (Himachal Pradesh)
405,755,Vodafone (North East)
405,756,Vodafone (Madhya Pradesh)
405,799,Idea (Mumbai)
405,800,Aircel (Delhi)
405,801,Aircel (Andhra Pradesh)
